Song,,Constant,Level,Note Count,Difficulty,Song ID,Notes,
,,,,,,,,
,,,,,,,,
,,,,,,,RERATES,
,,,,,,,,
Pheles,フェレス,32.4,APD 31,1744,Append,291,RATING: mix of 39s and UnCh OS,
Artifact,,30.5,30,1139,Master,694,RATING: temp too lazy to update en constants,
Chu! Future☆Express!,,30.4,30,1287,Master,701,,
NAKAKAPAGPABAGABAG,,30.2,30,1124,Master,563,,
,,,,,,,changing constants to match what was suggested ,
I want to be your heart,だれかの心臓になれたなら,29.9,29+,1044,Master,152,,
Highlight,Highlight,28.1,28,690,Master,263,,
The World is Mine,ワールドイズマイン,29.4,29,1417,Master,48,,
Teammates,チームメイト,30.3,30,1090,Master,374,,
39Music!,39みゅーじっく！,28.4,28,1039,Master,45,,
From Tokyo,フロムトーキョー,28.4,28,814,Master,130,,
Step for a Crescent,三日月ステップ,28.2,28,969,Master,580,,
,,,,,,,,
,,,,,,,,
,,,,,,,updating old constants (based also on constant suggestions),
on the rocks,on the rocks,27.5,27,1004,Master,86,,
The Daughter of Evil,悪ノ娘,27.1,27,784,Master,190,,
Pulse of the Meteor,流星のパルス,31.4,31,1123,Master,173,,
Judas,ジウダス,28.7,28+,898,Master,215,,
Aun no Beats,阿吽のビーツ,29.5,29,918,Master,245,,
Chururira Chururira Daddadda!,チュルリラ・チュルリラ・ダッダッダ！,31.8,31+,1401,Master,88,,
Our 16bit Wars,ぼくらの16bit戦争,33.6,33+,1521,Master,249,,
Planet Hero,プラネットヒーロー,33.1,33,1467,Master,588,,
Hide and Seek,ハイドアンド・シーク,28.0,28,898,Master,438,,
"Can't Defeat ""Take No Notice Boys""",難聴系男子が倒せない,30.1,30,1234,Master,341,,
,,,,,,,,
,,,,,,,,
,,,,,,,mas 26/25 rerates to match expert constants,
Hitorinbo Envy,独りんぼエンヴィー,26.9,26+,589,Master,74,,
Kimi no Yoru wo Kure,君の夜をくれ,26.9,26+,662,Master,237,,
Twilight Light,トワイライトライト,26.8,26+,619,Master,384,,
,,,,,Master,,,
,,,,,,,,
,,,,,,,,
,,,,,,,Fixing 39s sheet song translations,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,temp is lazy,
,,,,,,,,
shrimp miku,,28.1,28,793,Master,725,,
LOVELY♥CAVITY,,29.1,29,962,Master,736,,
Cheerleader (feat. Hatsune Miku),,27.2,27,912,Master,762,,
CONNECT:COMMUNE ,,30.2,30,1132,Master,786,,
Hanataba,ハナタバ,28.4,28,938,Master,759,,
Lapse,ラプス,29.6,29+,1081,Master,758,,
Astronauts,アストロノーツ,25.5,25,523,Master,792,,
City Lights,シティライツ,29.5,29,943,Master,791,,
Pikkoon!!,ピッコーン！！,27.7,27+,1056,Master,790,,
REM,レム,26.0,26,537,Master,765,,
"Tenbin, Yubisaki de Furete",天秤、指先で触れて,28.3,28,1012,Master,789,,
De Los Santos,デロスサントス,29.4,29,936,Master,794,,
Ichiokunen Koi Shiteru,一億年恋してる,31.6,31+,1310,Master,795,,
Children Record,チルドレンレコード,34.5,APD 34,1627,Append,136,,
Additional Memory,アディショナルメモリー,31.3,31,1226,Master,751,,
